month,port_ret,idx_ret,excess,max_dd,days_in,days_total,dominant_regime,pass,pass_soft
2025-05 May,0.5,0.83,-0.33,-1.02,9,19,neutral,False,False
2025-06 Jun,0.42,0.0,0.42,-0.02,5,20,neutral,False,True
2025-07 Jul,3.98,3.37,0.61,-1.13,23,23,neutral,False,True
2025-08 Aug,5.49,10.9,-5.41,-2.33,21,21,neutral,False,False
2025-09 Sep,-2.05,2.59,-4.64,-2.59,22,22,bull,False,False
2025-10 Oct,0.85,0.0,0.85,-2.14,13,17,neutral,False,True
2025-11 Nov,-0.78,-2.72,1.95,-3.58,9,20,neutral,False,True
2025-12 Dec,0.77,1.17,-0.39,-0.24,8,23,correction,False,False
2026-01 Jan,9.74,0.0,9.74,-2.49,12,20,neutral,True,True
2026-02 Feb,0.0,2.27,-2.27,0.0,0,14,correction,False,False
2026-03 Mar,0.0,-5.89,5.89,0.0,0,22,correction,True,True
2026-04 Apr,7.18,6.21,0.97,-1.7,17,21,neutral,False,True
